date;time;CO2;group
30-12-2019;00:00:00;465;Gr. 5, 6
30-12-2019;00:05:00;457;Gr. 5, 6
30-12-2019;00:10:00;461;Gr. 5, 6
30-12-2019;00:15:00;554;Gr. 5, 6
30-12-2019;00:20:00;748;Gr. 5, 6
30-12-2019;00:25:00;730;Gr. 5, 6
30-12-2019;00:30:00;691;Gr. 5, 6
30-12-2019;00:35:00;660;Gr. 5, 6
30-12-2019;00:40:00;622;Gr. 5, 6
30-12-2019;00:45:00;630;Gr. 5, 6
30-12-2019;00:50:00;639;Gr. 5, 6
30-12-2019;00:55:00;769;Gr. 5, 6
30-12-2019;01:00:00;816;Gr. 5, 6
30-12-2019;01:05:00;729;Gr. 5, 6
30-12-2019;01:10:00;764;Gr. 5, 6
30-12-2019;01:15:00;689;Gr. 5, 6
30-12-2019;01:20:00;621;Gr. 5, 6
30-12-2019;01:25:00;652;Gr. 5, 6
30-12-2019;01:30:00;603;Gr. 5, 6
30-12-2019;01:35:00;825;Gr. 5, 6
30-12-2019;01:40:00;884;Gr. 5, 6
30-12-2019;01:45:00;759;Gr. 5, 6
30-12-2019;01:50:00;724;Gr. 5, 6
30-12-2019;01:55:00;714;Gr. 5, 6
30-12-2019;02:00:00;669;Gr. 5, 6
30-12-2019;02:05:00;687;Gr. 5, 6
30-12-2019;02:10:00;712;Gr. 5, 6
30-12-2019;02:15:00;799;Gr. 5, 6
30-12-2019;02:20:00;769;Gr. 5, 6
30-12-2019;02:25:00;739;Gr. 5, 6
30-12-2019;02:30:00;727;Gr. 5, 6
30-12-2019;02:35:00;709;Gr. 5, 6
30-12-2019;02:40:00;699;Gr. 5, 6
30-12-2019;02:45:00;661;Gr. 5, 6
30-12-2019;02:50:00;616;Gr. 5, 6
30-12-2019;02:55:00;649;Gr. 5, 6
30-12-2019;03:00:00;648;Gr. 5, 6
30-12-2019;03:05:00;772;Gr. 5, 6
30-12-2019;03:10:00;829;Gr. 5, 6
30-12-2019;03:15:00;753;Gr. 5, 6
30-12-2019;03:20:00;684;Gr. 5, 6
30-12-2019;03:25:00;691;Gr. 5, 6
30-12-2019;03:30:00;616;Gr. 5, 6
30-12-2019;03:35:00;571;Gr. 5, 6
30-12-2019;03:40:00;648;Gr. 5, 6
30-12-2019;03:45:00;712;Gr. 5, 6
30-12-2019;03:50:00;882;Gr. 5, 6
30-12-2019;03:55:00;825;Gr. 5, 6
30-12-2019;04:00:00;788;Gr. 5, 6
30-12-2019;04:05:00;714;Gr. 5, 6
30-12-2019;04:10:00;680;Gr. 5, 6
30-12-2019;04:15:00;667;Gr. 5, 6
30-12-2019;04:20:00;633;Gr. 5, 6
30-12-2019;04:25:00;609;Gr. 5, 6
30-12-2019;04:30:00;740;Gr. 5, 6
30-12-2019;04:35:00;697;Gr. 5, 6
30-12-2019;04:40:00;691;Gr. 5, 6
30-12-2019;04:45:00;674;Gr. 5, 6
30-12-2019;04:50:00;762;Gr. 5, 6
30-12-2019;04:55:00;790;Gr. 5, 6
30-12-2019;05:00:00;769;Gr. 5, 6
30-12-2019;05:05:00;697;Gr. 5, 6
