date;time;transport;group
12-06-2020;15:45:00;0;Transport Gr. 5, 6
12-06-2020;15:50:00;0;Transport Gr. 5, 6
12-06-2020;15:55:00;0;Transport Gr. 5, 6
12-06-2020;16:00:00;0;Transport Gr. 5, 6
12-06-2020;16:05:00;0;Transport Gr. 5, 6
12-06-2020;16:10:00;0;Transport Gr. 5, 6
12-06-2020;16:15:00;0;Transport Gr. 5, 6
12-06-2020;16:20:00;0;Transport Gr. 5, 6
12-06-2020;16:25:00;0;Transport Gr. 5, 6
12-06-2020;16:30:00;0;Transport Gr. 5, 6
12-06-2020;16:35:00;0;Transport Gr. 5, 6
12-06-2020;16:40:00;0;Transport Gr. 5, 6
12-06-2020;16:45:00;0;Transport Gr. 5, 6
12-06-2020;16:50:00;0;Transport Gr. 5, 6
12-06-2020;16:55:00;0;Transport Gr. 5, 6
12-06-2020;17:00:00;0;Transport Gr. 5, 6
12-06-2020;17:05:00;0;Transport Gr. 5, 6
12-06-2020;17:10:00;0;Transport Gr. 5, 6
12-06-2020;17:15:00;0;Transport Gr. 5, 6
12-06-2020;17:20:00;0;Transport Gr. 5, 6
12-06-2020;17:25:00;0;Transport Gr. 5, 6
12-06-2020;17:30:00;0;Transport Gr. 5, 6
12-06-2020;17:35:00;0;Transport Gr. 5, 6
12-06-2020;17:40:00;0;Transport Gr. 5, 6
12-06-2020;17:45:00;0;Transport Gr. 5, 6
12-06-2020;17:50:00;0;Transport Gr. 5, 6
12-06-2020;17:55:00;0;Transport Gr. 5, 6
12-06-2020;18:00:00;0;Transport Gr. 5, 6
12-06-2020;18:05:00;0;Transport Gr. 5, 6
12-06-2020;18:10:00;0;Transport Gr. 5, 6
12-06-2020;18:15:00;0;Transport Gr. 5, 6
12-06-2020;18:20:00;0;Transport Gr. 5, 6
12-06-2020;18:25:00;0;Transport Gr. 5, 6
12-06-2020;18:30:00;0;Transport Gr. 5, 6
12-06-2020;18:35:00;0;Transport Gr. 5, 6
12-06-2020;18:40:00;0;Transport Gr. 5, 6
12-06-2020;18:45:00;0;Transport Gr. 5, 6
12-06-2020;18:50:00;0;Transport Gr. 5, 6
12-06-2020;18:55:00;0;Transport Gr. 5, 6
12-06-2020;19:00:00;0;Transport Gr. 5, 6
12-06-2020;19:05:00;0;Transport Gr. 5, 6
12-06-2020;19:10:00;0;Transport Gr. 5, 6
12-06-2020;19:15:00;0;Transport Gr. 5, 6
12-06-2020;19:20:00;0;Transport Gr. 5, 6
12-06-2020;19:25:00;0;Transport Gr. 5, 6
12-06-2020;19:30:00;0;Transport Gr. 5, 6
12-06-2020;19:35:00;0;Transport Gr. 5, 6
12-06-2020;19:40:00;0;Transport Gr. 5, 6
12-06-2020;19:45:00;0;Transport Gr. 5, 6
12-06-2020;19:50:00;0;Transport Gr. 5, 6
